latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,flood_overlap_fraction,flood_label,event_id,date,label_source
24.05,83.049995,0.0,0.0,0.199999988079071,8.369999706745148,11.364999597892163,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.15,0.0,0.0,0.1749999970197677,4.45499986410141,7.2249998124316335,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.25,0.0,0.0,0.1499999910593032,5.024999871850014,7.869999833405018,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.35,0.0,0.1049999967217445,0.3499999865889549,8.229999788105488,11.219999697990716,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.45,0.0,0.0,1.094999976456165,10.79999991506338,14.499999839812515,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.549995,0.1049999967217445,0.2499999925494194,2.379999913275242,10.68499980121851,14.87999965250492,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.65,0.1549999937415123,0.3149999845772981,6.759999709203839,16.469999568536878,20.409999476745725,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.75,0.1749999970197677,0.7199999988079071,13.264999836683272,23.684999585151672,27.129999523051083,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.85,0.2299999892711639,0.9999999701976776,10.554999858140944,21.91999962925911,24.68999955710024,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,83.95,0.1749999970197677,1.414999946951866,11.249999806284904,24.324999645352364,27.01499959081412,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.049995,0.2599999904632568,1.0899999737739563,11.604999482631683,23.66499930620193,26.45999922696501,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.15,0.8349999934434891,5.589999943971634,27.009999066591263,38.769998863339424,42.70499877911061,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.25,2.164999961853028,8.489999771118164,31.204999327659607,40.674999207258224,43.37999915424734,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.35,2.754999876022339,10.229999899864197,35.74999964237213,45.12499938905239,47.449999309144914,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.45,2.6799999475479126,9.37499976158142,26.829999446868896,33.049999326467514,34.58499928470701,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.549995,4.629999876022339,15.544999361038208,25.06499904394149,30.52999885380268,32.24499879498035,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.65,7.049999952316284,22.02499961853028,26.709999442100525,30.899999365210533,32.78999933041632,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.75,6.119999885559082,22.334999322891235,25.969999223947525,29.78999909758568,32.509999038651586,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.85,8.319999933242798,23.20999956130981,26.24499949067831,28.04499944578856,29.224999421276152,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,84.95,13.010000228881836,26.01999974250793,29.4499996304512,30.39999957382679,31.654999539256096,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.049995,9.65999984741211,21.239999651908875,27.55499948561192,27.80499948561192,29.63999941945076,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.15,6.355000019073486,17.29499989748001,23.01999971270561,23.61499969661236,25.12999964132905,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.25,5.804999828338623,14.539999723434448,16.494999647140503,17.909999621100724,19.71499957516789,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.35,7.609999895095825,15.764999747276306,16.454999734647572,17.869999674148858,20.474999574944377,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.45,7.9349998235702515,15.174999475479126,15.799999453127384,16.694999437779188,19.444999430328608,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.549995,9.740000009536743,17.854999780654907,19.309999763965607,19.94999973848462,22.62999963015318,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.65,7.684999942779541,15.62999987602234,17.449999809265137,18.13499980140477,20.224999768659472,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.75,7.079999923706055,17.024999767541885,18.78499972820282,19.69999970495701,24.449999574571848,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.85,5.914999723434448,12.054999768733978,13.129999715834856,13.894999685697258,18.644999568350613,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,85.95,3.050000011920929,8.764999866485596,9.339999847114086,10.219999827444552,13.909999737516046,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.049995,1.949999898672104,5.349999889731407,5.509999880567193,7.10999986436218,10.024999781511724,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.15,1.3499999642372131,2.73499995470047,2.829999953508377,5.734999898821116,12.654999691061676,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
24.05,86.25,0.324999988079071,0.9649999737739564,1.2249999642372131,5.404999856837094,15.544999551959336,0.0,0,BIHAR_2024_09_27,2024-09-27,NRSC_Sentinel1A
